researcher_id,researcher_name,publication_id,relationship_source,researcher_match_method,researcher_match_confidence,requires_review,review_reason
uwa-accounting-001,Alex Yang,uwa-pub-0895f28c4d1ef1f3,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-001,Alex Yang,uwa-pub-753875d28eb6481b,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-001,Alex Yang,uwa-pub-0007630a1ad6b7f9,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-001,Alex Yang,uwa-pub-74f64136d34b2b88,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-001,Alex Yang,uwa-pub-52fb77065d4f8315,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-001,Alex Yang,uwa-pub-2fae16427f9fe312,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-001,Alex Yang,uwa-pub-75d6b61eee87c64e,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-001,Alex Yang,uwa-pub-40174d77942c0af2,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-001,Alex Yang,uwa-pub-511a5378f05c0213,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-001,Alex Yang,uwa-pub-e04cc09beaf10560,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-001,Alex Yang,uwa-pub-8a46f452cda7629e,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-002,Alex Zhang,uwa-pub-ae6fa1177c6ac65e,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-002,Alex Zhang,uwa-pub-61bf7eca046b6f4b,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-007,George Shan,uwa-pub-61bf7eca046b6f4b,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-002,Alex Zhang,uwa-pub-11e5aaa818d1b2b5,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-002,Alex Zhang,uwa-pub-629fbfdc1d7a1671,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-007,George Shan,uwa-pub-629fbfdc1d7a1671,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-002,Alex Zhang,uwa-pub-0fc679be666f80ea,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-007,George Shan,uwa-pub-0fc679be666f80ea,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-002,Alex Zhang,uwa-pub-47a63b853dd8514a,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-002,Alex Zhang,uwa-pub-de94981d2a66c840,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-002,Alex Zhang,uwa-pub-20f6a9258a73766e,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-002,Alex Zhang,uwa-pub-bf88c226ef6b9493,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-002,Alex Zhang,uwa-pub-55ed6dc85efc6360,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-002,Alex Zhang,uwa-pub-c11b1b74ac040cd1,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-002,Alex Zhang,uwa-pub-edbe60b9462930dc,official personal Pure publications feed,profile_feed_membership,high,false,
uwa-accounting-002,Alex Zhang,uwa-pub-bc55354ac3f570c1,official personal Pure publications feed,profile_feed_membership,high,false,
