journal_name,journal_canonical,issn,issn_online,issn_scimago,quality_rank,abdc_list_year,abdc_for_code,sjr,sjr_quartile,h_index,cites_per_doc_2y,scimago_categories,impact_factor,impact_factor_5yr,publication_count,abdc_match_type,scimago_match_type,issn_conflict
Accounting and Finance,Accounting and Finance,0810-5391,1467-629X,,A,2025,3501,0.814,Q1,77.0,3.53,"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2); Finance (Q2)",,,99,title,title,
Weekly Tax Bulletin,,,,,none,2025,,,,,,,,,62,,,
Australian Accounting Review,Australian Accounting Review,1035-6908,1835-2561,,B,2025,3501,0.702,Q2,54.0,3.1,Accounting (Q2),,,51,title,title,
Journal of Financial and Quantitative Analysis,Journal of Financial and Quantitative Analysis,0022-1090,1756-6916,,A*,2025,3502,4.404,Q1,164.0,4.15,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),,,47,title,title,
"Australian Tax Forum: a journal of taxation policy, law and reform",Australian Tax Forum,0812-695X,,,A*,2025,4801,,,,,,,,44,title-variant,,
Journal of Financial Economics,Journal of Financial Economics,0304-405X,,,A*,2025,3502,18.748,Q1,355.0,8.99,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1),,,38,title,title,
Australian Tax Review,Australian Tax Review,0311-094X,,,A,2025,4801,,,,,,,,37,title,,
eJournal of Tax Research,eJournal of Tax Research,1448-2398,,,A,2025,4801,0.19,Q4,15.0,0.65,Accounting (Q4); Economics and Econometrics (Q4); Finance (Q4),,,35,title,title,
Palgrave Studies in the History of Economic Thought,,,,,none,2025,,,,,,,,,33,,,
Australian Tax Forum Journal,Australian Tax Forum,0812-695X,,,A*,2025,4801,,,,,,,,30,title-variant,,
Australian Superannuation Law Bulletin,,,,,none,2025,,,,,,,,,29,,,
Journal of Banking and Finance,Journal of Banking & Finance,0378-4266,1872-6372,,A*,2025,3502,1.954,Q1,225.0,5.11,Economics and Econometrics (Q1); Finance (Q1),,,29,title,title,
Australian Journal of Management,Australian Journal of Management,0312-8962,1327-2020,,A,2025,3502,0.778,Q1,57.0,3.96,"Business, Management and Accounting (miscellaneous) (Q1)",,,28,title,title,
Accounting Organizations and Society,"Accounting, Organizations and Society",0361-3682,1873-6289,,A*,2025,3501,3.098,Q1,170.0,5.0,Accounting (Q1); Applied Psychology (Q1); Information Systems and Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1),,,25,title,title,
Journal of Corporate Finance,Journal of Corporate Finance,0929-1199,1872-6313,,A*,2025,3502,2.706,Q1,166.0,7.97,Business and International Management (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1),,,25,title,title,
International Journal of Auditing,International Journal of Auditing,1090-6738,1099-1123,,A,2025,3501,0.681,Q1,42.0,3.19,"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2)",,,21,title,title,
Management Science,Management Science,0025-1909,1526-5501,,A*,2025,3507,6.428,Q1,321.0,7.69,Management Science and Operations Research (Q1); Strategy and Management (Q1),,,21,title,title,
Behavioral Research in Accounting,Behavioral Research in Accounting,1050-4753,1558-8009,,A,2025,3501,0.679,Q2,36.0,1.83,Accounting (Q2); Organizational Behavior and Human Resource Management (Q2),,,20,title,title,
"Business, Society and the Law",,,,,none,2025,,,,,,,,,19,,,
Journal of Australian Taxation,Journal of Australian Taxation,1440-0405,,,A,2025,4801,0.115,Q4,4.0,0.06,Accounting (Q4); Finance (Q4),,,17,title,title,
Journal of Finance,The Journal of Finance,0022-1082,1540-6261,,A*,2025,3502,22.27,Q1,386.0,12.3,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),,,17,title,title,
Accounting Review,The Accounting Review,0001-4826,1558-7967,,A*,2025,3501,4.403,Q1,217.0,3.71,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),,,16,title,title,
Asian Analysis,,,,,none,2025,,,,,,,,,16,,,
Auditing,Auditing: A Journal of Practice and Theory,0278-0380,1558-7991,,A*,2025,3501,2.32,Q1,111.0,4.48,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),,,16,abdc-prefix,title,
Contemporary Accounting Research,Contemporary Accounting Research,0823-9150,1911-3846,,A*,2025,3501,3.686,Q1,141.0,6.37,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),,,16,title,title,
Review of Financial Studies,The Review of Financial Studies,0893-9454,1465-7368,,A*,2025,3502,17.406,Q1,268.0,8.71,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),,,16,title,title,
